ID,item_cnt_month
0,0.5506775
1,0.2075504
2,1.0412307
3,0.45674425
4,2.7957458
5,0.6398145
6,0.82179415
7,0.13010767
8,0.9907395
9,0.44329458
10,2.3898554
11,0.20943293
12,0.10624117
13,0.87021947
14,1.7357938
15,2.9084806
16,0.06386185
17,0.1417107
18,1.1076292
19,0.2707147
20,0.48307732
21,0.25721604
22,1.6688911
23,0.50330997
24,1.2481341
25,1.147337
26,0.5490519
27,0.85189784
28,1.2004828
29,4.6153154
30,0.98452914
31,0.56506145
32,0.8825366
33,0.96062845
34,0.089238435
35,0.07253364
36,0.07905364
37,1.0924268
38,0.17729294
39,0.094442725
40,0.6764812
41,1.7347922
42,3.4345672
43,3.7855742
44,1.049731
45,0.15318114
46,1.0322238
47,0.3755228
48,0.5264426
49,0.80427283
50,0.93655765
51,0.43485677
52,0.48075444
53,0.29036948
54,4.9711127
55,2.965694
56,1.4616218
57,1.5531917
58,4.5996037
59,3.5920174
60,5.065726
61,0.26652676
62,0.22877112
63,0.29731566
64,1.9806215
65,0.2075504
66,0.5915954
67,0.07556793
68,0.6961325
69,0.08899462
70,0.2075504
71,1.7921569
72,0.21781546
73,0.7982434
74,5.0972757
75,4.4165382
76,0.2943582
77,1.9806215
78,0.48808035
79,0.73931473
80,0.9950712
81,2.4117541
82,0.7989864
83,0.25541335
84,0.988359
85,1.0670695
86,0.70708674
87,0.0410527
88,2.3716326
89,0.9118203
90,0.7212931
91,0.48459202
92,1.6171318
93,0.09906685
94,0.5659374
95,0.021829844
96,0.06683245
97,0.47544253
98,1.0969418
99,1.4962454
100,1.1095314
101,0.8693812
102,0.30607563
103,0.78976583
104,0.100617945
105,0.57471126
106,0.3685675
107,0.812675
108,0.10624117
109,0.2075504
110,0.25144118
111,0.6554438
112,0.6166949
113,1.1966176
114,0.16164157
115,0.27885437
116,0.39324528
117,0.109291434
118,10.010641
119,0.12476382
120,0.060428083
121,0.07216397
122,0.36081892
123,0.47642303
124,0.4124542
125,0.8892596
126,0.4475873
127,0.08511117
128,0.2581871
129,0.25008482
130,0.41896868
131,0.03235805
132,1.2857623
133,5.3791103
134,0.05582589
135,1.2453598
136,0.60191077
137,0.5988494
138,1.7654638
139,0.21799159
140,0.22441685
141,0.3427676
142,0.12003884
143,0.22729659
144,0.16362232
145,0.16362232
146,0.16362232
147,0.14167076
148,0.21799159
149,0.06580132
150,0.062954456
151,0.5024436
152,7.745872
153,0.30472276
